unique,building,''aubron? from r/mindcrack?'',8002000,8002000,credits
unusual,head,unusual team captain,4033000,4033000,credits
unusual,head,unusual killer's kabuto,2521000,2521000,credits
unusual,head,unusual attendant,1428000,1428000,credits
unusual,head,unusual milkman,1360000,1360000,credits
unusual,head,unusual lord cockswain's pith helmet,1360000,1360000,credits
unusual,head,unusual lord cockswain's pith helmet,1260000,1260000,credits
unusual,head,unusual furious fukaamigasa,1200000,1200000,credits
unusual,head,unusual hottie's hoodie,1176000,1176000,credits
unusual,head,unusual copper's hard top,1092000,1092000,credits
unusual,head,unusual birdcage,1092000,1092000,credits
unusual,head,unusual pencil pusher,1278000,1278000,credits
unusual,head,unusual pencil pusher,1040000,1040000,credits
unusual,head,unusual exquisite rack,1280000,1280000,credits
unusual,head,unusual exquisite rack,977000,977000,credits
unusual,head,unusual virtual reality headset,1503000,1503000,credits
unusual,head,unusual virtual reality headset,977000,977000,credits
unusual,head,unusual one-man army,960000,960000,credits
unusual,head,unusual conjurer's cowl,1008000,1008000,credits
unusual,head,unusual conjurer's cowl,924000,924000,credits
unusual,head,unusual batter's helmet,880000,880000,credits
unusual,head,unusual hermes,1092000,1092000,credits
unusual,head,unusual hermes,880000,880000,credits
unusual,head,unusual ol' snaggletooth,1503000,1503000,credits
unusual,head,unusual ol' snaggletooth,902000,902000,credits
unusual,head,unusual ol' snaggletooth,840000,840000,credits
unusual,head,unusual counterfeit billycock,902000,902000,credits
unusual,head,unusual counterfeit billycock,840000,840000,credits
unusual,head,unusual cosa nostra cap,1428000,1428000,credits
unusual,head,unusual cosa nostra cap,827000,827000,credits
unusual,head,unusual dr's dapper topper,977000,977000,credits
unusual,head,unusual dr's dapper topper,800000,800000,credits
unusual,head,unusual bombing run,798000,798000,credits
unusual,head,unusual scotsman's stove pipe,756000,756000,credits
unusual,head,unusual sober stuntman,756000,756000,credits
unusual,head,unusual noble amassment of hats,752000,752000,credits
unusual,head,unusual stout shako,902000,902000,credits
unusual,head,unusual stout shako,714000,714000,credits
unusual,head,unusual backwards ballcap,714000,714000,credits
unusual,head,unusual l'inspecteur,714000,714000,credits
unusual,head,unusual gym rat,850000,850000,credits
unusual,head,unusual gym rat,640000,640000,credits
unusual,head,unusual salty dog,630000,630000,credits
unusual,head,unusual berliner's bucket helm,1008000,1008000,credits
unusual,head,unusual berliner's bucket helm,588000,588000,credits
unusual,head,unusual grimm hatte,1008000,1008000,credits
unusual,head,unusual grimm hatte,588000,588000,credits
unusual,head,unusual triboniophorus tyrannus,570000,570000,credits
unusual,head,unusual carouser's capotain,564000,564000,credits
unusual,head,unusual carouser's capotain,564000,564000,credits
unusual,head,unusual trophy belt,564000,564000,credits
unusual,head,unusual big country,560000,560000,credits
unusual,head,unusual flamboyant flamenco,560000,560000,credits
unusual,head,unusual gentleman's gatsby,546000,546000,credits
unusual,head,unusual doctor's sack,546000,546000,credits
unusual,head,unusual little buddy,546000,546000,credits
unusual,head,unusual outdoorsman,827000,827000,credits
unusual,head,unusual outdoorsman,526000,526000,credits
unusual,head,unusual big chief,640000,640000,credits
unusual,head,unusual big chief,520000,520000,credits
unusual,head,unusual respectless rubber glove,588000,588000,credits
unusual,head,unusual respectless rubber glove,560000,560000,credits
unusual,head,unusual respectless rubber glove,504000,504000,credits
unusual,head,unusual jumper's jeepcap,504000,504000,credits
unusual,head,unusual hot dogger,1128000,1128000,credits
unusual,head,unusual hot dogger,504000,504000,credits
unusual,head,unusual professional's panama,499990,499990,credits
unusual,head,unusual buckaroos hat,720000,720000,credits
unusual,head,unusual buckaroos hat,489000,489000,credits
unique,head,max's severed head,480000,480000,credits
unusual,head,unusual german gonzila,462000,462000,credits
unusual,head,unusual sultan's ceremonial,462000,462000,credits
unusual,head,unusual brain bucket,720000,720000,credits
unusual,head,unusual brain bucket,462000,462000,credits
unusual,head,unusual pugilist's protector,440000,440000,credits
unusual,head,unusual hound dog,601000,601000,credits
unusual,head,unusual hound dog,420000,420000,credits
unusual,head,''under the weather'',414500,414500,credits
unusual,head,''snow cone'',394500,394500,credits
unusual,head,unusual fancy fedora,365000,365000,credits
unusual,head,unusual brigade helm,977000,977000,credits
unusual,head,unusual brigade helm,756000,756000,credits
unusual,head,unusual brigade helm,756000,756000,credits
unusual,head,unusual brigade helm,680000,680000,credits
unusual,head,unusual brigade helm,350000,350000,credits
unusual,head,unusual geisha boy,601000,601000,credits
